Concept,Internal DB,HubSpot,Zuper,Zoho,Systems Today,Push to HubSpot?,Push to Zuper?,Push to Zoho?,Include in Form?,Category-Specific?,Notes
Compatible Inverters,—,— (custom property),— (custom field),— (custom field),0,Yes,?,?,Yes,Yes — Relay Device,
,,,,,,,,,,,
=== CROSS-SYSTEM IDs (auto-managed) ===,,,,,,,,,,,
Internal SKU ID,id,—,—,—,1,No,No,No,Auto,No,
HubSpot Product ID,hubspotProductId,hs_object_id,HubSpot Product ID (column),—,3,Auto,Auto,No,Auto,No,
Zuper Item UID,zuperItemId,—,ID,—,2,No,Auto,No,Auto,No,
Zoho Item ID,zohoItemId,—,—,item_id,2,No,No,Auto,Auto,No,
QBO Product ID,—,qbo_product_id,QBO Product ID (column),—,2,Auto,Auto,No,Auto,No,
,,,,,,,,,,,
=== HUBSPOT-ONLY ===,,,,,,,,,,,
SLO,—,cc,—,—,1,No,No,No,No,No,
DEN,—,den,—,—,1,No,No,No,No,No,
DTC,—,dtc,—,—,1,No,No,No,No,No,
PBLO,—,pblo,—,—,1,No,No,No,No,No,
OS Name,—,os_name,—,—,1,No,No,No,No,No,OpenSolar name
Permit Required,—,permit_required_for_install,—,—,1,No,No,No,No,No,
Folder,—,hs_folder,—,—,1,No,No,No,No,No,
Image URL,—,hs_images,—,—,1,No,No,No,No,No,
Owner,—,hubspot_owner_id,—,—,1,No,No,No,No,No,Auto-set
Ecomm Synced,—,ip__ecomm_bridge__ecomm_synced,—,—,1,No,No,No,No,No,
Synced to NetSuite,—,synced_to_netsuite,—,—,1,No,No,No,No,No,
Tax Category,—,hs_tax_category,—,—,1,No,No,No,No,No,
Bundle Type,—,hs_bundle_type,—,—,1,No,No,No,No,No,
Product Classification,—,hs_product_classification,—,—,1,No,No,No,No,No,Standalone/Variant/Bundle
Pricing Model,—,hs_pricing_model,—,—,1,No,No,No,No,No,
Billing Frequency,—,recurringbillingfrequency,—,—,1,No,No,No,No,No,
Billing Period/Term,—,hs_recurring_billing_period,—,—,1,No,No,No,No,No,
Rich Text Description,—,hs_rich_text_description,—,—,1,No,No,No,No,No,
Line Item Description,—,line_item_description,—,—,1,No,No,No,No,No,
,,,,,,,,,,,
=== ZOHO-ONLY ===,,,,,,,,,,,
Group ID / Name,—,—,—,group_id + group_name,1,No,No,No,No,No,
Is Taxable,—,—,—,is_taxable,1,No,No,No,No,No,
Tax ID / Name / %,—,—,—,tax_id + tax_name + tax_percentage,1,No,No,No,No,No,
Purchase Account,—,—,—,purchase_account_id,1,No,No,No,No,No,
Inventory Account,—,—,—,inventory_account_id,1,No,No,No,No,No,
UPC,—,—,—,upc,1,No,No,No,No,No,
EAN,—,—,—,ean,1,No,No,No,No,No,
Purchase Description,—,—,—,purchase_description,1,No,No,No,No,No,
Custom Fields,—,—,—,custom_fields[],1,No,No,—,No,No,Available for any custom data
,,,,,,,,,,,
=== CATEGORY MAPPING ACROSS SYSTEMS ===,,,,,,,,,,,
"Category Name",Internal Enum,HubSpot Value,Zuper Category,Needs Adding to Zuper?,,,,,,
Module,MODULE,Module,— (needs adding),Yes,,,,,,
Battery,BATTERY,Battery,Battery,No,,,,,,
Battery Expansion,BATTERY_EXPANSION,Battery Expansion,Battery Expansion,No,,,,,,
Inverter,INVERTER,Inverter,Inverter,No,,,,,,
Optimizer,OPTIMIZER,Optimizer,— (needs adding),Yes,,,,,,
Gateway,GATEWAY,Gateway,— (needs adding),Yes,,,,,,
D&R,D_AND_R,D&R,— (needs adding),Yes,,,,,,
Service,SERVICE,Service,— (needs adding),Yes,,,,,,
"Adder & Services",ADDER_SERVICES,Adder,— (needs adding),Yes,,,,,,
EV Charger,EV_CHARGER,EV Charger,— (needs adding),Yes,,,,,,
Tesla System Components,TESLA_SYSTEM_COMPONENTS,Tesla System Components,— (needs adding),Yes,,,,,,
Project Milestones,PROJECT_MILESTONES,Project Milestones,— (needs adding),Yes,,,,,,
Relay Device,RELAY_DEVICE,Relay Device,Relay Device,No,,,,,,
Electrical Hardware,ELECTRICAL_HARDWARE,Electrical Hardware,"Electrical Hardwire (typo?)",No,,,,,,
Mounting Hardware,MOUNTING_HARDWARE,Mounting Hardware,Mounting Hardware,No,,,,,,
