Concept,Internal DB Field,Internal DB Type,HubSpot Property,HubSpot Type,Zuper Field,Zuper Type,Zoho Field,Zoho Type,Notes,Include in Form?,Category-Specific?
=== BARCODES / IDENTIFIERS ===,,,,,,,,,,,,
UPC,—,—,—,—,—,—,upc,long,12-digit Universal Product Code,No,No
EAN,—,—,—,—,—,—,ean,long,European Article Number,No,No
ISBN,—,—,—,—,—,—,isbn,string,ISBN (for books — unlikely needed),No,No
,,,,,,,,,,,,
=== CROSS-SYSTEM IDs ===,,,,,,,,,,,,
Internal SKU ID,id,String (cuid),—,—,—,—,—,—,Primary key in EquipmentSku table,Auto,No
HubSpot Product ID,hubspotProductId,String?,hs_object_id,long,—,—,—,—,HubSpot record ID,Auto,No
Zuper Item UID,zuperItemId,String?,—,—,item_uid / product_uid,string,—,—,Zuper catalog item reference,Auto,No
Zoho Item ID,zohoItemId,String?,—,—,—,—,item_id,long,Zoho Inventory item reference,Auto,No
QBO Product ID,—,—,qbo_product_id,string,—,—,—,—,QuickBooks Online product reference,Auto,No
,,,,,,,,,,,,
=== HUBSPOT-ONLY (LOCATION CODES) ===,,,,,,,,,,,,
SLO,—,—,cc,string,—,—,—,—,HubSpot custom: SLO code,No,No
DEN,—,—,den,string,—,—,—,—,HubSpot custom: DEN code,No,No
DTC,—,—,dtc,string,—,—,—,—,HubSpot custom: DTC code,No,No
PBLO,—,—,pblo,string,—,—,—,—,HubSpot custom: PBLO code,No,No
OS Name,—,—,os_name,string,—,—,—,—,HubSpot custom: OpenSolar name,No,No
Permit Required,—,—,permit_required_for_install,enum (Yes/No),—,—,—,—,User said not needed in form,No,No
,,,,,,,,,,,,
=== HUBSPOT-ONLY (SYSTEM) ===,,,,,,,,,,,,
HubSpot Folder,—,—,hs_folder,string,—,—,—,—,Product folder in HubSpot,No,No
HubSpot Image URL,—,—,hs_images,string,—,—,—,—,Product image,No,No
HubSpot Owner,—,—,hubspot_owner_id,string,—,—,—,—,Auto-set owner,No,No
Ecomm Synced,—,—,ip__ecomm_bridge__ecomm_synced,boolean,—,—,—,—,Ecommerce sync flag,No,No
Ecomm Image URL,—,—,ip__ecomm_bridge__image_url,string,—,—,—,—,Ecommerce image,No,No
External Sync Source,—,—,ip__sync_extension__external_source_account_id,string,—,—,—,—,External sync reference,No,No
Synced to NetSuite,—,—,synced_to_netsuite,string,—,—,—,—,NetSuite sync flag,No,No
HubSpot Tax Category,—,—,hs_tax_category,string,—,—,—,—,Tax category for line items,No,No
HubSpot Bundle Type,—,—,hs_bundle_type,string,—,—,—,—,Bundle type indicator,No,No
,,,,,,,,,,,,
=== ZOHO-ONLY ===,,,,,,,,,,,,
Zoho Group ID,—,—,—,—,—,—,group_id,string,Item group reference,No,No
Zoho Group Name,—,—,—,—,—,—,group_name,string,Item group name,No,No
Zoho Unit of Measure,—,—,—,—,—,—,unit,string,UOM: pcs / box / each / etc.,No,No
Zoho Is Taxable,—,—,—,—,—,—,is_taxable,boolean,Tax applicability flag,No,No
Zoho Tax ID,—,—,—,—,—,—,tax_id,long,Associated tax rule,No,No
Zoho Tax Name,—,—,—,—,—,—,tax_name,string,Tax rule name,No,No
Zoho Tax Percentage,—,—,—,—,—,—,tax_percentage,double,Tax rate,No,No
Zoho Reorder Level,—,—,—,—,—,—,reorder_level,double,Minimum stock threshold,No,No
Zoho Purchase Account,—,—,—,—,—,—,purchase_account_id,long,Accounting: purchase account,No,No
Zoho Inventory Account,—,—,—,—,—,—,inventory_account_id,long,Accounting: inventory account,No,No
Zoho Image,—,—,—,—,—,—,image_id / image_name,long/string,Product image in Zoho,No,No
Zoho HSN/SAC Code,—,—,—,—,—,—,hsn_or_sac,string,India tax classification,No,No
Zoho Custom Fields,—,—,—,—,—,—,custom_fields[],array,Custom field values,No,No
